after_task,sample_id,task_name,split,source_dataset,replay_mode,replay_selection_strategy,replay_selection_score
arc_challenge,arc_challenge_train_000070,arc_challenge,train,allenai/ai2_arc,random,random,0.6815324705084781
arc_challenge,arc_challenge_train_000065,arc_challenge,train,allenai/ai2_arc,random,random,0.6800797890134616
arc_challenge,arc_challenge_train_000047,arc_challenge,train,allenai/ai2_arc,random,random,0.6780357660164069
arc_challenge,arc_challenge_train_000003,arc_challenge,train,allenai/ai2_arc,random,random,0.6780346604702756
arc_challenge,arc_challenge_train_000090,arc_challenge,train,allenai/ai2_arc,random,random,0.6733524239996742
boolq,boolq_train_000082,boolq,train,google/boolq,random,random,0.990205489892376
boolq,boolq_train_000008,boolq,train,google/boolq,random,random,0.985451486947358
boolq,boolq_train_000086,boolq,train,google/boolq,random,random,0.9654895523390942
boolq,boolq_train_000051,boolq,train,google/boolq,random,random,0.9638848803134712
boolq,boolq_train_000004,boolq,train,google/boolq,random,random,0.9607868970408154
boolq,boolq_train_000011,boolq,train,google/boolq,random,random,0.9595058871349702
boolq,boolq_train_000100,boolq,train,google/boolq,random,random,0.9566439575714504
boolq,boolq_train_000055,boolq,train,google/boolq,random,random,0.9493191275207412
boolq,boolq_train_000028,boolq,train,google/boolq,random,random,0.9489056484248444
boolq,boolq_train_000074,boolq,train,google/boolq,random,random,0.9480251013590468
boolq,boolq_train_000054,boolq,train,google/boolq,random,random,0.9405260871225771
boolq,boolq_train_000099,boolq,train,google/boolq,random,random,0.9354674054864951
boolq,boolq_train_000042,boolq,train,google/boolq,random,random,0.9115214711432055
boolq,boolq_train_000005,boolq,train,google/boolq,random,random,0.9052388692651342
boolq,boolq_train_000032,boolq,train,google/boolq,random,random,0.8990307061191468
boolq,boolq_train_000021,boolq,train,google/boolq,random,random,0.8830750130076848
boolq,boolq_train_000073,boolq,train,google/boolq,random,random,0.8493853261927776
boolq,boolq_train_000071,boolq,train,google/boolq,random,random,0.8428016079876867
boolq,boolq_train_000040,boolq,train,google/boolq,random,random,0.8375142616306721
boolq,boolq_train_000057,boolq,train,google/boolq,random,random,0.8242700884140778
boolq,boolq_train_000060,boolq,train,google/boolq,random,random,0.811179888094594
boolq,boolq_train_000003,boolq,train,google/boolq,random,random,0.8093763703432942
boolq,boolq_train_000006,boolq,train,google/boolq,random,random,0.8042802405779291
boolq,boolq_train_000018,boolq,train,google/boolq,random,random,0.8012374708304868
boolq,boolq_train_000077,boolq,train,google/boolq,random,random,0.7990744750061416
boolq,boolq_train_000075,boolq,train,google/boolq,random,random,0.7902939598878466
boolq,boolq_train_000009,boolq,train,google/boolq,random,random,0.7836240357638126
boolq,boolq_train_000072,boolq,train,google/boolq,random,random,0.7541917962247677
boolq,boolq_train_000049,boolq,train,google/boolq,random,random,0.7478347751828462
boolq,boolq_train_000061,boolq,train,google/boolq,random,random,0.739288550291978
